file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2257_S44_L001_q8.il.fq	bsc	bsc_b16_m	21815872	319269900	3.81	3.33	825	968	675	601	1
2234_S21_L001_q8.il.fq	gzip	gzip_l9_s	39100279	376716678	58.89	1.51	2	1	99	99	1
2246_S33_L001_q8.il.fq	lbzip2	lbzip2_l9_m	28319525	366122444	14.69	4.01	13	13	200	202	1
2246_S33_L001.il.fq	gzip	gzip_l9_s	64840899	366122444	80.52	1.81	2	1	99	100	1
2296_S35_L001_q8.il.fq	gzip	gzip_l9_s	31474295	390943752	39.85	1.45	2	1	99	99	1
2288_S27_L001_q8.il.fq	gzip	gzip_l9_s	31351057	455466060	39.16	1.64	2	1	99	100	1
2296_S35_L001.il.fq	gzip	gzip_l9_s	58490732	390943752	77.78	1.83	2	1	99	99	1
2234_S21_L001.il.fq	gzip	gzip_l9_s	69507084	376716678	89.14	1.87	2	1	99	99	1
2296_S35_L001.il.fq	lz4	lz4_l9_s	72056476	390943752	35.78	0.32	7	7	99	99	1
2246_S33_L001_q8.il.fq	gzip	gzip_l9_s	35271147	366122444	46.43	1.42	2	1	99	100	1
2257_S44_L001.il.fq	gzip	gzip_l9_s	63734611	319269900	56.18	1.69	2	1	99	100	1
2296_S35_L001.il.fq	lbzip2	lbzip2_l9_m	48743351	390943752	18.64	5.7	14	14	200	202	1
2257_S44_L001_q8.il.fq	gzip	gzip_l9_s	33563790	319269900	53.35	1.28	2	1	99	100	1
2296_S35_L001_q8.il.fq	lbzip2	lbzip2_l9_m	25169182	390943752	14.27	3.99	13	13	200	203	1
2288_S27_L001.il.fq	gzip	gzip_l9_s	61394234	455466060	95.27	2.03	2	1	99	100	1
2234_S21_L001_q8.il.fq	lbzip2	lbzip2_l9_m	31334954	376716678	15.28	4.31	13	14	200	203	1
2234_S21_L001.il.fq	lbzip2	lbzip2_l9_m	58387830	376716678	20.31	6.27	14	14	200	202	1
2288_S27_L001.il.fq	lbzip2	lbzip2_l9_m	50502298	455466060	21.3	6.55	14	14	200	203	1
2257_S44_L001.il.fq	lbzip2	lbzip2_l9_m	53824090	319269900	17.91	5.63	15	15	200	202	1
2288_S27_L001_q8.il.fq	lbzip2	lbzip2_l9_m	24501849	455466060	15.73	4.44	12	13	200	203	1
2257_S44_L001_q8.il.fq	lbzip2	lbzip2_l9_m	27053958	319269900	13.41	3.87	13	13	200	203	1
2296_S35_L001.il.fq	pigz	pigz_l9_m	58447185	390943752	51.79	0.91	4	2	200	174	1
2246_S33_L001.il.fq	lbzip2	lbzip2_l9_m	54505191	366122444	19.54	5.89	14	14	200	202	1
2296_S35_L001_q8.il.fq	lz4	lz4_l9_s	38583882	390943752	26.61	0.28	6	6	99	100	1
2246_S33_L001.il.fq	pigz	pigz_l9_m	64781247	366122444	51.2	0.97	4	2	200	161	1
2257_S44_L001.il.fq	pigz	pigz_l9_m	63615410	319269900	39.24	0.93	4	2	200	163	1
2234_S21_L001.il.fq	lz4	lz4_l9_s	84829656	376716678	43.08	0.32	7	7	99	99	1
2288_S27_L001_q8.il.fq	lz4	lz4_l9_s	38257921	455466060	27.06	0.31	6	6	99	99	1
2234_S21_L001_q8.il.fq	lz4	lz4_l9_s	47521870	376716678	33.02	0.29	6	6	99	99	1
2288_S27_L001.il.fq	lz4	lz4_l9_s	75669931	455466060	41.43	0.36	7	7	99	100	1
2246_S33_L001.il.fq	lz4	lz4_l9_s	79366440	366122444	36.56	0.31	7	7	99	100	1
2246_S33_L001_q8.il.fq	lz4	lz4_l9_s	43066098	366122444	29.38	0.28	6	6	99	99	1
2257_S44_L001.il.fq	lz4	lz4_l9_s	77628245	319269900	30.76	0.27	7	7	99	99	1
2296_S35_L001_q8.il.fq	pzstd	pzstd_l19_m	26148986	390943752	47.31	0.2	249	71	194	265	1
2257_S44_L001_q8.il.fq	lz4	lz4_l9_s	41082086	319269900	30.41	0.26	6	6	99	100	1
2296_S35_L001_q8.il.fq	pigz	pigz_l9_m	31485248	390943752	24.6	0.67	4	2	201	199	1
2234_S21_L001_q8.il.fq	pigz	pigz_l9_m	39132732	376716678	32.25	0.69	3	2	201	190	1
2288_S27_L001_q8.il.fq	pigz	pigz_l9_m	31386940	455466060	23.82	0.7	4	2	201	207	1
2234_S21_L001.il.fq	pigz	pigz_l9_m	69530044	376716678	61.32	1.05	4	2	200	161	1
2246_S33_L001_q8.il.fq	pigz	pigz_l9_m	35307782	366122444	28.9	0.62	4	2	201	200	1
2288_S27_L001.il.fq	pigz	pigz_l9_m	61390721	455466060	63.31	1.03	4	2	200	176	1
2257_S44_L001_q8.il.fq	pigz	pigz_l9_m	33611684	319269900	33.67	0.58	4	2	201	197	1
2234_S21_L001_q8.il.fq	pzstd	pzstd_l19_m	30054789	376716678	61.78	0.25	250	80	188	262	1
2296_S35_L001.il.fq	pzstd	pzstd_l19_m	48856569	390943752	79.99	0.3	253	79	194	255	1
2234_S21_L001.il.fq	pzstd	pzstd_l19_m	56239894	376716678	94.73	0.33	254	74	187	249	1
2257_S44_L001_q8.il.fq	pzstd	pzstd_l19_m	27462468	319269900	55.45	0.2	250	67	191	257	1
2288_S27_L001.il.fq	xz	xz_l9_m	48285164	455466060	151.69	4.06	1732	66	184	100	1
2288_S27_L001.il.fq	pzstd	pzstd_l19_m	50540557	455466060	88.87	0.39	252	74	194	251	1
2246_S33_L001.il.fq	pzstd	pzstd_l19_m	53797492	366122444	86.54	0.36	254	103	186	244	1
2257_S44_L001.il.fq	pzstd	pzstd_l19_m	54023013	319269900	77.17	0.35	256	77	190	237	1
2246_S33_L001_q8.il.fq	pzstd	pzstd_l19_m	28419114	366122444	57.56	0.25	250	73	185	257	1
2288_S27_L001_q8.il.fq	pzstd	pzstd_l19_m	25778485	455466060	52.02	0.24	249	61	195	264	1
2288_S27_L001_q8.il.fq	xz	xz_l9_m	24997028	455466060	79.12	2.33	1695	66	187	99	1
2234_S21_L001_q8.il.fq	xz	xz_l9_m	28129824	376716678	101.01	2.34	1612	66	186	100	1
2296_S35_L001.il.fq	xz	xz_l9_m	46539200	390943752	135.97	3.82	1672	66	190	99	1
2234_S21_L001.il.fq	xz	xz_l9_m	52691720	376716678	166.35	4.12	1664	66	186	99	1
2296_S35_L001_q8.il.fq	xz	xz_l9_m	25223484	390943752	79.42	2.21	1623	66	192	99	1
2296_S35_L001.il.fq	zstd	zstd_l19_m	48794695	390943752	81.37	0.55	302	10	194	99	1
2246_S33_L001_q8.il.fq	xz	xz_l9_m	27097704	366122444	96.78	2.25	1601	66	180	100	1
2246_S33_L001.il.fq	xz	xz_l9_m	51086444	366122444	156.71	4.01	1653	66	180	99	1
2257_S44_L001.il.fq	xz	xz_l9_m	51813140	319269900	162.31	3.98	1609	66	158	99	1
2234_S21_L001_q8.il.fq	zstd	zstd_l19_m	29962347	376716678	63.15	0.46	298	10	188	99	1
2296_S35_L001_q8.il.fq	zstd	zstd_l19_m	26104401	390943752	51.94	0.42	331	10	194	100	1
2257_S44_L001_q8.il.fq	xz	xz_l9_m	26619616	319269900	111.18	2.13	1556	66	158	100	1
2234_S21_L001.il.fq	zstd	zstd_l19_m	56128651	376716678	95.7	0.6	302	10	188	100	1
2246_S33_L001_q8.il.fq	zstd	zstd_l19_m	28368991	366122444	59.17	0.44	300	10	185	100	1
2257_S44_L001.il.fq	zstd	zstd_l19_m	53978473	319269900	79.91	0.5	331	10	191	100	1
2257_S44_L001_q8.il.fq	zstd	zstd_l19_m	27432397	319269900	56.29	0.39	297	10	192	99	1
2288_S27_L001.il.fq	zstd	zstd_l19_m	50492917	455466060	90.5	0.61	298	10	196	100	1
2288_S27_L001_q8.il.fq	zstd	zstd_l19_m	25747971	455466060	52.95	0.44	297	10	196	100	1
2246_S33_L001.il.fq	zstd	zstd_l19_m	53731801	366122444	86.8	0.54	302	10	187	100	1
