file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2263_S2_L001.il.fq	plzip	plzip_l6_m	29169628	416736936	106.42	3.14	266	19	196	187	1
2266_S5_L001.il.fq	plzip	plzip_l6_m	40040580	595944536	142.11	4.15	265	20	197	195	1
2289_S28_L001.il.fq	plzip	plzip_l6_m	25068265	388820198	90.92	2.94	265	20	193	190	1
2257_S44_L001.il.fq	plzip	plzip_l6_m	28849224	319269900	114.07	2.81	267	20	191	187	1
2274_S13_L001.il.fq	plzip	plzip_l6_m	33838121	385430632	126.78	3.31	267	19	195	191	1
2253_S40_L001.il.fq	plzip	plzip_l6_m	33967341	392234212	125.47	3.27	267	20	196	193	1
2265_S4_L001.il.fq	plzip	plzip_l6_m	33238524	418596336	126.98	3.5	266	19	193	186	1
2254_S41_L001.il.fq	plzip	plzip_l6_m	30695736	375101846	114.55	2.96	266	20	196	195	1
2239_S26_L001.il.fq	plzip	plzip_l6_m	41497881	357055160	163	3.82	269	19	195	192	1
2235_S22_L001.il.fq	plzip	plzip_l6_m	32177190	431585584	113.57	3.05	266	20	195	195	1
2216_S3_L001.il.fq	plzip	plzip_l6_m	24916870	347444344	86.26	2.74	266	19	199	191	1
2232_S19_L001.il.fq	plzip	plzip_l6_m	38704688	384683514	149.48	3.68	268	20	193	191	1
2301_S40_L001.il.fq	plzip	plzip_l6_m	25136515	349276596	94.09	2.69	266	19	194	186	1
2262_S1_L001.il.fq	plzip	plzip_l6_m	31557729	418410180	112.28	3.19	266	20	196	195	1
2304_S43_L001.il.fq	plzip	plzip_l6_m	20796763	308830288	76.59	2.38	265	19	197	188	1
2298_S37_L001.il.fq	plzip	plzip_l6_m	25919639	274403560	96.58	2.61	268	20	194	181	1
2295_S34_L001.il.fq	plzip	plzip_l6_m	22987731	319978424	86.59	2.43	266	19	194	173	1
2220_S7_L001.il.fq	plzip	plzip_l6_m	35232225	407466534	131.42	3.03	267	19	197	197	1
2241_S28_L001.il.fq	plzip	plzip_l6_m	38236271	347670024	143.74	3.67	269	20	196	186	1
2252_S39_L001.il.fq	plzip	plzip_l6_m	30622948	368794574	117.21	3.03	266	19	196	194	1
2240_S27_L001.il.fq	plzip	plzip_l6_m	37505180	367953250	139.75	3.57	269	20	199	198	1
2276_S15_L001.il.fq	plzip	plzip_l6_m	33379634	366767194	127.24	3.47	268	20	196	191	1
2293_S32_L001.il.fq	plzip	plzip_l6_m	25346175	373086500	89.95	2.65	265	20	198	191	1
2237_S24_L001.il.fq	plzip	plzip_l6_m	35057784	440977110	128.29	3.54	266	19	199	185	1
2250_S37_L001.il.fq	plzip	plzip_l6_m	24720922	338071598	89.42	2.64	266	20	199	170	1
2294_S33_L001.il.fq	plzip	plzip_l6_m	22546296	270026346	82.75	2.26	267	19	195	191	1
2218_S5_L001.il.fq	plzip	plzip_l6_m	67732984	458633010	253.41	6.05	269	20	197	190	1
2229_S16_L001.il.fq	plzip	plzip_l6_m	39203490	419881230	144.51	3.43	267	19	195	198	1
2259_S46_L001.il.fq	plzip	plzip_l6_m	29695690	350734246	101.69	2.75	266	20	199	177	1
2233_S20_L001.il.fq	plzip	plzip_l6_m	35464273	312791608	124.84	2.69	269	20	196	182	1
2305_S44_L001.il.fq	plzip	plzip_l9_s	24015208	298045616	422.7	3.5	489	34	100	100	1
2257_S44_L001.il.fq	plzip	plzip_l9_s	24632280	319269900	442.11	3.81	488	34	100	99	1
2215_S2_L001.il.fq	plzip	plzip_l9_s	25861789	355812082	462.42	3.93	488	34	100	100	1
2260_S47_L001.il.fq	plzip	plzip_l9_s	32899679	373982572	506.55	4.42	489	34	100	99	1
2249_S36_L001.il.fq	plzip	plzip_l9_s	25287198	375702258	494.53	4.03	488	34	100	99	1
2283_S22_L001.il.fq	plzip	plzip_l9_s	41122775	429575634	586.59	5.58	489	34	100	100	1
2248_S35_L001.il.fq	plzip	plzip_l9_s	32516076	515301428	681.69	5.35	487	34	100	99	1
2297_S36_L001.il.fq	plzip	plzip_l9_s	21212981	297605488	382.5	3.21	488	34	100	100	1
2266_S5_L001.il.fq	plzip	plzip_l9_s	32729066	595944536	789.83	5.53	487	34	100	99	1
2273_S12_L001.il.fq	plzip	plzip_l9_s	22792546	380317040	512.68	3.78	487	34	100	99	1
2289_S28_L001.il.fq	plzip	plzip_l9_s	20882626	388820198	490.15	3.67	487	34	100	99	1
2223_S10_L001.il.fq	plzip	plzip_l9_s	29135729	366792588	476.3	4.23	488	34	100	99	1
2263_S2_L001.il.fq	plzip	plzip_l9_s	24193708	416736936	554.19	3.97	487	34	100	100	1
2224_S11_L001.il.fq	plzip	plzip_l9_s	22829503	342963850	449.7	3.64	488	34	100	100	1
2253_S40_L001.il.fq	plzip	plzip_l9_s	29143839	392234212	522.76	4.33	488	34	100	100	1
2239_S26_L001.il.fq	plzip	plzip_l9_s	37490926	357055160	490.27	4.83	490	34	100	99	1
